row	language	stars	forks	issues	watchers	license	lines	score
72	Python	16069	4075	395	0	MIT License	1277109	0.496764917325665
73	Scala	0	0	1207	275	MIT License	1992681	0.2774982027318476
74	Python	24725	0	0	226	GNU General Public License v3.0	530057	0.5679367361610352
75	PHP	33637	0	823	0	BSD 3-Clause 'New' or 'Revised' License	505309	0.4730409777138748
76	JavaScript	24014	0	0	15	MIT License	977148	0.5837526959022287
77	HTML/CSS	0	0	141	71	MIT License	1083146	0.4960460100647016
78	Python	0	3992	506	0	Mozilla Public License 2.0	41885	0.41624730409777133
79	Java	45416	807	0	233	MIT No Attribution	982140	0.5715312724658519
80	HTML/CSS	34334	5438	0	249	BSD 3-Clause 'New' or 'Revised' License	289275	0.7390366642703091
81	Python	0	3484	0	691	Apache License 2.0	1355388	0.6290438533429188
82	Java	0	0	489	0	Apache License 2.0	275911	0.2135154565061107
83	C#	0	3737	421	295	MIT License	130158	0.4773544212796549
84	SQL	50819	0	0	562	GNU General Public License v3.0	2490591	0.7764198418404026
85	Java	37699	0	0	0	MIT License	403833	0.4191229331416247
86	SQL	2232	0	0	24	Apache License 2.0	656917	0.49892163910855497
87	Java	15277	749	837	363	Apache License 2.0	49518	0.3975557153127246
88	HTML/CSS	23934	0	0	356	MIT License	183525	0.7713874910136592
89	SQL	0	0	0	0	MIT License	1656845	0.6987778576563624
90	JavaScript	16799	3060	1141	0	MIT No Attribution	1643957	0.6477354421279655
91	HTML/CSS	36943	6038	0	103	MIT License	1267953	0.9460819554277499
92	C	0	0	406	2	MIT License	473460	0.41265276779295473
93	Python	20379	0	29	0	BSD 3-Clause 'New' or 'Revised' License	643096	0.522645578720345
94	Python	0	799	785	382	MIT License	2686012	0.6117900790797987
95	PHP	23812	4953	0	165	MIT License	2193627	0.6779295470884257
96	SQL	0	206	396	17	BSD 3-Clause 'New' or 'Revised' License	857305	0.509705248023005
97	VBA	27527	5951	327	0	MIT License	1326998	0.6700215672178288
98	Python	6176	5958	401	0	BSD 3-Clause 'New' or 'Revised' License	1016298	0.5132997843278216
99	Ruby	17118	3015	943	0	Apache License 2.0	906910	0.7936736161035227
100	C++	16126	2318	0	60	BSD 3-Clause 'New' or 'Revised' License	55234	0.728253055355859
101	C	5588	3583	406	0	MIT License	591777	0.4399712437095615
102	C	18888	0	2202	0	Apache License 2.0	5276190	0.49388928828181167
103	C++	18695	0	0	0	GNU General Public License v3.0	2387568	0.5506829618979152
104	VBA	0	108	0	105	MIT License	445604	0.6542056074766355
105	C#	9308	2248	0	0	MIT License	1906780	0.7095614665708123
106	C++	0	0	0	238	MIT License	1108930	0.42774982027318476
107	PHP	0	0	1864	14	BSD 3-Clause 'New' or 'Revised' License	2522271	0.7296908698777856
108	Java	29705	7156	0	0	MIT License	628796	0.5240833932422717
109	Go	14834	1061	0	0	GNU General Public License v3.0	1321327	0.45578720345075485
110	VBA	6179	3255	0	0	BSD 2-Clause 'Simplified' License	994920	0.3989935298346513
111	C#	16969	7030	0	0	GNU General Public License v2.0	756644	0.578001437814522
112	Python	0	3485	375	0	MIT License	1031142	0.4205607476635514
113	JavaScript	12690	6137	1483	0	Apache License 2.0	4110056	0.8353702372393961
114	C#	31111	3814	0	0	MIT License	308297	0.41337167505391803
115	VBA	0	6629	843	53	MIT License	379841	0.6125089863407621
116	JavaScript	22694	1469	2020	151	MIT License	4659984	0.6793673616103523
117	HTML/CSS	16500	802	0	0	MIT License	1632720	0.6053199137311287
118	C++	4199	0	1521	3	GNU General Public License v2.0	1443222	0.5082674335010783
119	Swift	0	0	0	0	MIT License	716850	0.3601725377426312
120	Swift	0	424	1029	65	MIT License	3036327	0.4982027318475917
121	HTML/CSS	26824	7614	26	0	Apache License 2.0	1763781	0.8483105679367361
122	SQL	11513	0	0	0	MIT License	353477	0.3644859813084112
123	TypeScript	712	1132	588	24	Apache License 2.0	261336	0.40618260244428467
124	Python	33589	0	0	302	Mozilla Public License 2.0	1036996	0.8425593098490294
125	C#	0	0	1382	0	MIT License	1695559	0.6024442846872754
126	MATLAB	0	0	770	0	MIT License	750094	0.45578720345075485
127	VBA	29111	0	261	0	MIT License	907656	0.5355859094176851
128	Swift	0	2267	156	0	Apache License 2.0	1536834	0.2537742631200575
129	SQL	22602	3676	452	0	GNU General Public License v3.0	192557	0.3932422717469446
130	PHP	11028	0	454	80	Apache License 2.0	210118	0.3831775700934579
131	C#	23154	102	0	0	MIT License	370698	0.5348670021567218
132	Python	6220	3711	0	0	GNU General Public License v3.0	911872	0.7419122933141625
133	Java	0	0	563	0	MIT License	1408314	0.4565061107117182
134	C#	2638	2706	426	78	BSD 3-Clause 'New' or 'Revised' License	1222090	0.43206326383896476
135	JavaScript	714	2814	0	109	MIT License	400604	0.6031631919482386
136	Java	32282	753	0	0	GNU General Public License v2.0	917045	0.6642703091301222
137	Kotlin	21868	0	775	0	GNU General Public License v2.0	846474	0.6462976276060388
138	Python	27493	3756	0	0	MIT License	589244	0.4119338605319913
139	SQL	0	762	0	0	Apache License 2.0	46899	0.7189072609633357
140	SQL	26244	4347	0	214	MIT License	1236923	0.5470884255930984
141	Scala	0	3087	527	235	MIT License	471317	0.3666427030913012
142	TypeScript	0	0	996	222	MIT License	485225	0.4802300503235082
143	R	16495	6960	0	70	BSD 3-Clause 'New' or 'Revised' License	1552780	0.5801581595974119
144	R	13957	0	813	126	MIT License	461578	0.5212077641984184
145	TypeScript	8342	0	0	174	MIT License	1444100	0.5420560747663551
146	HTML/CSS	0	3289	1784	61	MIT License	3521672	0.6786484543493889
147	JavaScript	19948	0	1837	24	MIT License	3407236	0.5614665708123652
148	Ruby	0	1401	20	0	MIT No Attribution	1144941	0.3350107836089144
149	SQL	0	0	1319	0	MIT License	2463660	0.4644140905823148
150	C#	10132	3212	848	0	GNU General Public License v3.0	1933584	0.8835370237239397
151	Java	0	3902	0	22	MIT License	794995	0.4572250179726815
152	C#	7492	4276	0	215	GNU General Public License v3.0	992403	0.8526240115025161
153	C++	34322	0	1776	0	MIT License	2997670	0.6002875629043853
154	VBA	8814	4659	1	0	BSD 3-Clause 'New' or 'Revised' License	810735	0.40905823148813797
155	HTML/CSS	16145	360	10	345	MIT License	69258	0.9223580158159597
156	C++	0	5625	0	0	MIT License	1734231	0.45794392523364486
157	C	32832	5408	63	0	GNU General Public License v3.0	2193707	0.7656362329259525
158	Ruby	10533	7671	0	60	GNU General Public License v3.0	662611	0.5233644859813084
159	Java	10248	0	0	0	MIT License	204655	0.2868439971243709
160	PHP	5028	1885	878	166	BSD 3-Clause 'New' or 'Revised' License	107871	0.5197699496764917
161	Python	0	0	0	0	GNU General Public License v3.0	2151161	0.518332135154565
162	TypeScript	9342	0	0	120	GNU Affero General Public License v3.0	291735	0.37311286843997127
163	TypeScript	0	1024	909	0	MIT License	1289989	0.5794392523364487
164	Java	0	6541	0	42	Apache License 2.0	39430	0.6081955427749821
165	Swift	10075	0	874	0	GNU General Public License v3.0	962476	0.6355140186915887
166	JavaScript	0	1993	0	266	MIT License	988278	0.5017972681524083
167	C#	2333	414	0	65	MIT License	351415	0.4507548526240115
168	MATLAB	0	0	0	0	Apache License 2.0	934230	0.3299784327821711
169	C++	0	0	0	25	Apache License 2.0	2950036	0.4291876347951114
170	Java	2443	0	65	248	BSD 3-Clause 'New' or 'Revised' License	2091060	0.5801581595974119
171	HTML/CSS	29508	1469	0	0	MIT License	1108239	0.44931703810208484
172	Go	31825	7667	0	301	MIT License	1511163	0.7332854061826024
173	HTML/CSS	0	1879	0	0	Apache License 2.0	2860760	0.6218547807332854
174	Scala	0	0	0	0	MIT License	401859	0.317038102084831
175	JavaScript	20631	0	0	0	MIT License	171230	0.30913012221423436
176	SQL	27041	0	0	0	Apache License 2.0	1573000	0.8634076204169663
177	SQL	7275	5029	0	226	Apache License 2.0	420534	0.7030913012221424
178	Python	0	1293	0	215	MIT License	931136	0.6757728253055355
179	Java	6991	7557	1618	0	MIT License	2096215	0.7907979870596693
180	JavaScript	16466	0	315	0	MIT No Attribution	631808	0.4572250179726815
181	JavaScript	30698	4348	374	219	Apache License 2.0	319606	0.9618979151689433
182	Go	0	3150	67	46	GNU General Public License v3.0	1251825	0.2961897915168943
183	C	27811	0	0	0	MIT License	1520341	0.7778576563623293
184	Rust	8748	6270	0	94	Apache License 2.0	79251	0.5916606757728252
185	R	0	7163	0	0	MIT License	306765	0.5744069015097052
186	JavaScript	7954	6036	99	0	GNU Lesser General Public License v2.1	997549	0.6592379583033788
187	Ruby	0	0	0	107	MIT License	843340	0.4917325664989216
188	JavaScript	2422	0	2410	182	MIT License	6167775	0.6053199137311287
189	Java	28986	0	0	152	MIT License	556471	0.6793673616103523
190	JavaScript	7880	0	0	222	MIT License	578046	0.7742631200575125
191	Python	0	7942	530	106	MIT License	1007903	0.5549964054636952
192	VBA	17633	504	456	184	MIT License	898001	0.5010783608914451
193	R	606	0	0	368	MIT License	325980	0.6412652767792953
194	HTML/CSS	0	0	768	0	MIT License	1986418	0.49892163910855497
195	JavaScript	0	1050	666	379	Apache License 2.0	1018701	0.676491732566499
196	C++	12673	0	1226	65	MIT License	3191395	0.4960460100647016
197	Java	0	4983	547	203	MIT License	1020464	0.7649173256649893
198	C#	0	0	0	49	Apache License 2.0	1866679	0.40977713874910143
199	JavaScript	38300	7105	1883	20	MIT License	3298417	0.9381739755571531
200	Scala	15946	1395	0	0	MIT License	23538	0.5765636232925953
201	JavaScript	32243	3887	1039	57	GNU General Public License v2.0	1374991	0.5089863407620416
202	SQL	0	649	0	0	MIT License	226400	0.5873472322070452
203	PHP	3160	8203	2252	0	MIT License	6625944	0.37095614665708126
204	Swift	32103	2099	709	0	Creative Commons Zero v1.0 Universal	1091243	0.5614665708123652
205	R	18725	0	0	0	MIT License	1214726	0.6218547807332854
206	Swift	3599	2877	0	78	GNU General Public License v2.0	657319	0.5240833932422717
207	TypeScript	0	6472	0	0	MIT License	617893	0.5025161754133717
208	C#	0	0	363	167	MIT License	1784601	0.7649173256649893
209	C	0	1364	0	77	BSD 3-Clause 'New' or 'Revised' License	720575	0.2573687994248742
210	Java	25608	2985	596	0	MIT License	551602	0.42415528396836805
211	C#	8492	0	1033	330	MIT License	581637	0.6326383896477353
212	Java	0	3475	523	0	BSD 3-Clause 'New' or 'Revised' License	171173	0.5204888569374551
213	TypeScript	0	661	0	53	MIT License	972608	0.5751258087706687
214	SQL	25112	0	0	518	MIT License	757273	0.7929547088425593
215	C++	25322	8516	0	0	MIT License	125572	0.9877785765636233
216	HTML/CSS	0	1050	262	13	MIT License	319948	0.6613946800862688
217	Objective-C	17202	1248	0	0	GNU General Public License v2.0	1244801	0.34004313443565776
218	C++	13761	5312	0	119	MIT License	1319584	0.6994967649173257
219	PHP	48206	0	117	0	MIT License	853841	0.7872034507548527
220	JavaScript	0	2384	0	0	MIT License	100866	0.40618260244428467
221	Java	5945	4240	0	173	MIT License	938756	0.40258806613946807
222	JavaScript	13254	0	0	73	GNU Lesser General Public License v3.0	645322	0.4399712437095615
223	Python	1308	1303	1031	94	GNU General Public License v3.0	1317362	0.6484543493889288
224	Python	0	5080	0	41	MIT License	457542	0.5765636232925953
225	HTML/CSS	23973	0	75	0	Apache License 2.0	374222	0.507548526240115
226	JavaScript	0	1246	906	79	MIT License	144426	0.5283968368080517
227	Kotlin	26356	2261	1684	0	MIT License	3201658	0.667864845434939
228	C#	31055	0	940	103	MIT License	562804	0.7225017972681523
229	SQL	14098	6946	1842	163	MIT License	3935635	0.9086987778576564
230	Python	0	0	0	280	Eclipse Public License 2.0	309262	0.4428468727534148
231	JavaScript	1367	6455	0	0	Apache License 1.1	1490524	0.6477354421279655
232	PHP	50552	7514	123	0	MIT License	765315	0.6872753414809489
233	JavaScript	0	0	0	98	MIT License	466128	0.6527677929547088
234	Java	7640	0	1010	149	MIT License	3717543	0.45363048166786485
235	HTML/CSS	12845	0	383	217	Apache License 2.0	587917	0.6743350107836089
236	VBA	8130	6093	1414	185	GNU Lesser General Public License v3.0	3393133	0.8404025880661394
237	SQL	30320	3963	1115	291	GNU General Public License v3.0	2142673	0.5830337886412652
238	TypeScript	0	2467	0	108	MIT License	898156	0.505391804457225
239	Swift	0	2170	0	55	GNU General Public License v3.0	760224	0.6772106398274622
240	TypeScript	20647	0	689	222	Apache License 2.0	774399	0.6053199137311287
241	HTML/CSS	9184	2118	2475	0	MIT License	5413178	0.6146657081236521
242	C#	21439	4960	0	125	BSD 3-Clause 'New' or 'Revised' License	1580942	0.8655643421998562
243	SQL	0	6207	0	0	MIT License	118993	0.5535585909417685
244	R	19078	5381	708	87	Apache License 2.0	22756	0.7958303378864127
245	C#	13434	4919	726	355	BSD 3-Clause 'New' or 'Revised' License	1033594	0.7181883537023723
246	JavaScript	0	0	198	206	MIT License	1083362	0.6887131560028756
247	PHP	12447	1201	0	0	GNU General Public License v3.0	2290049	0.26599568655643424
248	C++	0	0	156	95	Apache License 2.0	257320	0.3975557153127246
249	TypeScript	21269	0	93	0	MIT License	988598	0.5729690869877785
250	HTML/CSS	0	0	0	0	MIT License	1579056	0.38245866283249463
251	Python	10742	0	0	39	Apache License 2.0	790788	0.4184040258806614
252	HTML/CSS	15886	0	0	0	BSD 3-Clause 'New' or 'Revised' License	1880295	0.5506829618979152
253	SQL	43935	6420	0	0	MIT License	1447751	0.45794392523364486
254	C	12644	0	537	0	MIT License	894281	0.4529115744069015
255	TypeScript	0	60	0	142	Apache License 2.0	1541870	0.46369518332135157
256	MATLAB	0	0	0	0	GNU Affero General Public License v3.0	657336	0.6319194823867721
257	PHP	6269	404	186	133	GNU General Public License v3.0	1079930	0.2573687994248742
258	Objective-C	0	0	0	183	MIT License	2400659	0.6010064701653487
259	C++	10107	0	0	0	GNU General Public License v3.0	193636	0.22070452911574406
260	C#	39589	0	837	0	GNU General Public License v3.0	183614	0.6189791516894321
261	C#	15893	8290	1375	162	BSD 3-Clause 'New' or 'Revised' License	1934854	0.7850467289719627
262	SQL	17838	0	0	0	MIT License	1230952	0.6175413371675054
263	SQL	12800	1408	242	55	MIT License	1564891	0.47088425593098493
264	HTML/CSS	0	1831	0	245	MIT License	340797	0.625449317038102
265	Java	0	0	0	117	MIT License	148327	0.46585190510424146
266	Scala	17844	6702	0	0	BSD 3-Clause 'New' or 'Revised' License	1433517	0.6139468008626888
267	HTML/CSS	14041	0	772	0	Apache License 2.0	1062340	0.8533429187634796
268	C++	9707	809	0	0	Apache License 2.0	1370960	0.4248741912293314
269	Java	8	151	1932	106	MIT License	2030955	0.3989935298346513
270	TypeScript	0	0	32	278	Apache License 1.1	986980	0.43206326383896476
271	SQL	3446	0	0	0	MIT License	38346	0.3321351545650611
272	R	8059	0	2264	0	GNU General Public License v2.0	5457230	0.511861969805895
273	C++	38498	1424	994	0	BSD 3-Clause 'New' or 'Revised' License	502401	0.8087706685837527
274	HTML/CSS	0	1715	0	178	MIT License	424486	0.4205607476635514
275	JavaScript	0	8564	0	0	MIT License	313714	0.5499640546369517
276	TypeScript	24056	2993	0	213	GNU General Public License v3.0	94579	0.4069015097052481
277	Go	3736	1116	0	0	MIT License	1911793	0.3544212796549245
278	Java	20104	4017	1257	64	MIT License	2576575	0.6664270309130123
279	JavaScript	26071	0	748	0	GNU General Public License v3.0	2465838	0.29690869877785764
280	HTML/CSS	17730	1671	255	79	BSD 3-Clause 'New' or 'Revised' License	1525291	0.7519769949676492
281	C	0	4564	449	0	MIT License	1060885	0.6017253774263119
282	VBA	37822	1589	774	0	BSD 3-Clause 'New' or 'Revised' License	246954	0.625449317038102
283	SQL	0	2293	0	29	MIT License	1292523	0.4119338605319913
284	HTML/CSS	33834	1568	0	468	GNU Affero General Public License v3.0	377554	0.5772825305535585
285	Python	27003	786	205	0	Apache License 2.0	734152	0.4651329978432782
286	SQL	49411	0	0	56	Apache License 2.0	1026901	0.6024442846872754
287	Java	0	5619	974	0	MIT License	426979	0.6319194823867721
288	C	0	5666	0	213	Apache License 2.0	158871	0.4665708123652049
289	Java	0	0	0	0	GNU General Public License v3.0	1799275	0.6750539180445723
290	HTML/CSS	28475	0	868	491	GNU General Public License v2.0	1216449	0.8461538461538461
291	C#	4021	1661	0	0	MIT License	1167932	0.41768511861969804
292	Java	0	0	0	0	GNU General Public License v2.0	1489870	0.7153127246585189
293	Python	31507	1915	0	0	MIT License	970464	0.13731128684399713
294	Python	0	0	0	352	Apache License 2.0	860808	0.4076204169662113
295	Python	1754	5004	844	140	MIT License	2133586	0.7138749101365923
296	TypeScript	719	0	0	0	Eclipse Public License 2.0	9529	0.4212796549245147
297	Java	47539	4407	0	17	MIT License	105285	0.723939611790079
298	Python	0	0	0	0	BSD 3-Clause 'New' or 'Revised' License	1963323	0.43421998562185476
299	C++	26057	0	527	0	MIT License	525809	0.5851905104241553
300	JavaScript	0	3469	1198	0	MIT License	2120868	0.6096333572969087
301	Ruby	0	0	0	0	MIT License	924004	0.4119338605319913
302	PHP	8818	0	0	23	MIT License	2573793	0.4227174694464414
303	Python	0	0	823	65	BSD 3-Clause 'New' or 'Revised' License	456584	0.5255212077641984
304	Rust	3253	0	9	34	MIT License	205127	0.306254493170381
305	Scala	0	613	58	0	GNU General Public License v3.0	1281432	0.27462257368799425
306	C#	29280	10052	51	17	MIT License	804919	0.7340043134435658
307	Python	0	8265	851	20	GNU General Public License v3.0	2067389	0.46369518332135157
308	HTML/CSS	0	5313	0	153	Apache License 2.0	1504914	0.7994248741912292
309	Kotlin	30161	0	0	27	MIT License	938802	0.7354421279654924
310	TypeScript	9123	215	0	0	GNU General Public License v3.0	1297857	0.5880661394680087
311	C#	2219	1235	1528	188	Apache License 2.0	3572290	0.5255212077641984
312	Scala	0	7614	489	108	Apache License 2.0	132547	0.42846872753414805
313	C#	11610	6838	0	0	MIT License	368541	0.5974119338605319
314	Objective-C	1004	0	0	384	MIT License	153803	0.6046010064701653
315	VBA	10214	933	234	0	MIT License	324574	0.3767074047447879
316	JavaScript	0	0	0	110	GNU General Public License v3.0	113543	0.42990654205607476
317	Java	10688	3377	417	0	MIT License	475896	0.5125808770668584
318	Java	38974	1735	340	0	GNU General Public License v3.0	228381	0.6628324946081955
319	TypeScript	46040	0	1198	236	Apache License 2.0	2306936	0.5794392523364487
320	HTML/CSS	44974	2865	133	16	BSD 3-Clause 'New' or 'Revised' License	621996	0.6743350107836089
321	PHP	1858	6847	0	0	Apache License 1.1	502321	0.6017253774263119
322	HTML/CSS	0	3449	0	85	MIT License	221197	0.5830337886412652
323	Ruby	23625	0	0	0	Mozilla Public License 2.0	570214	0.47519769949676494
324	Python	36099	1251	0	61	GNU General Public License v2.0	172928	0.20848310567936734
325	Ruby	18337	0	415	0	GNU General Public License v2.0	273757	0.43853342918763477
326	C	0	2808	172	0	MIT License	909333	0.28037383177570097
327	C++	0	5200	0	322	BSD 3-Clause 'New' or 'Revised' License	292521	0.32278936017253773
328	Kotlin	0	7289	497	0	MIT License	171269	0.3558590941768512
329	Java	9403	3867	0	0	MIT License	418436	0.5355859094176851
330	HTML/CSS	0	2437	0	71	MIT License	917975	0.5262401150251618
331	VBA	19457	6894	629	0	Apache License 2.0	1136159	0.5398993529834651
332	Java	0	4331	0	71	BSD 3-Clause 'New' or 'Revised' License	949394	0.47951114306254494
333	PHP	15701	7516	0	51	MIT License	1261136	0.792235801581596
334	HTML/CSS	0	6115	211	45	GNU General Public License v2.0	1503418	0.45003594536304814
335	C#	5214	0	1176	188	MIT No Attribution	1939487	0.5176132278936016
336	Python	17656	4762	386	167	Mozilla Public License 2.0	744488	0.314881380301941
337	R	8729	2261	0	321	MIT License	154545	0.811646297627606
338	HTML/CSS	0	0	0	108	GNU General Public License v3.0	2827665	0.44572250179726813
339	HTML/CSS	6083	1992	0	62	MIT License	1403892	0.5413371675053918
340	C++	4566	8184	321	0	MIT License	188046	0.4902947519769949
341	R	1036	0	0	13	GNU General Public License v3.0	432933	0.38245866283249463
342	JavaScript	0	0	1031	0	MIT License	179032	0.5808770668583753
343	JavaScript	32697	7572	0	78	GNU General Public License v3.0	400144	0.877785765636233
344	Java	18867	0	0	209	Apache License 1.1	280770	0.5880661394680087
345	Python	20139	1144	1529	0	GNU General Public License v3.0	1910555	0.41768511861969804
346	Kotlin	0	0	0	180	Apache License 2.0	970314	0.4586628324946082
347	HTML/CSS	31461	3190	0	14	MIT License	2499675	0.578001437814522
348	Python	0	0	0	0	Apache License 2.0	136000	0.1933860531991373
349	MATLAB	0	1816	0	0	MIT License	1365144	0.8346513299784328
350	HTML/CSS	2510	0	295	0	BSD 3-Clause 'New' or 'Revised' License	774165	0.5025161754133717
351	Python	0	2530	0	268	Mozilla Public License 2.0	634015	0.4910136592379583
352	C	5772	0	0	0	MIT No Attribution	1639663	0.5657800143781452
353	Rust	18913	3267	0	0	BSD 3-Clause 'New' or 'Revised' License	875468	0.4248741912293314
354	C++	13172	5810	0	210	BSD 2-Clause 'Simplified' License	987815	0.7246585190510424
355	Rust	16054	0	457	0	Apache License 2.0	860260	0.689432063263839
356	Scala	16438	0	394	192	GNU General Public License v3.0	1861284	0.41552839683680803
357	TypeScript	0	4360	694	14	MIT License	778504	0.3932422717469446
358	Python	12201	2308	0	303	MIT License	1239859	0.22501797268152407
359	C#	6569	2986	568	0	GNU General Public License v3.0	350733	0.5902228612508986
360	TypeScript	2293	7864	287	552	GNU General Public License v3.0	151499	0.6570812365204888
361	JavaScript	0	610	117	6	MIT License	438701	0.6017253774263119
362	Java	48159	3176	638	0	MIT License	223845	0.5887850467289719
363	Python	0	0	0	0	MIT License	32897	0.6685837526959022
364	HTML/CSS	18795	4135	0	38	GNU General Public License v2.0	651363	0.8576563623292596
365	Go	0	633	0	0	MIT License	116187	0.4378145219266714
366	SQL	0	1602	913	500	GNU Lesser General Public License v3.0	1048150	0.8741912293314162
367	JavaScript	12814	6610	0	45	BSD 3-Clause 'New' or 'Revised' License	468150	0.4823867721063983
368	TypeScript	1861	1050	0	0	MIT License	100776	0.5363048166786485
369	HTML/CSS	0	1327	411	52	MIT License	890875	0.7059669302659957
370	JavaScript	1113	6983	0	0	MIT License	679708	0.41624730409777133
371	HTML/CSS	6540	2155	0	0	BSD 3-Clause 'New' or 'Revised' License	471605	0.3774263120057513
372	PHP	12818	388	0	0	MIT License	785764	0.5089863407620416
373	Rust	5212	3412	0	75	MIT License	177496	0.7174694464414091
374	JavaScript	0	5075	0	284	MIT License	1965823	0.6987778576563624
